trial,stim,target_side,matching_flipped,presented_intensity,intensity_match,intensity_difference,start_time,stop_time,duration,time_of_day
JL_20230810_a-matching-1.results_13,whites_separate,Right,False,0.49,0.383,-0.106,12:29,12:29,11,Noon
JL_20230810_a-matching-1.results_14,whites,Right,False,0.51,0.478,-0.032,12:29,12:29,19,Noon
JL_20230810_a-matching-1.results_15,catch_trial_black_3,Left,False,0.5,0.589,0.089,12:29,12:30,20,Noon
JL_20230810_a-matching-1.results_16,sbc,Right,False,0.5,0.365,-0.135,12:30,12:30,28,Noon
JL_20230810_a-matching-1.results_17,sbc,Left,True,0.5,0.558,0.059,12:30,12:30,12,Noon
JL_20230810_a-matching-1.results_18,checkerboard_separate,Right,False,0.49,0.42,-0.07,12:30,12:31,45,Noon
JL_20230810_a-matching-1.results_19,bullseye_low_separate,Left,True,0.5,0.489,-0.011,12:31,12:31,10,Noon
JL_20230810_a-matching-1.results_20,strip,Left,True,0.5,0.476,-0.024,12:31,12:32,29,Noon
JL_20230810_a-matching-1.results_21,bullseye_high_freq,Left,False,0.51,0.494,-0.016,12:32,12:32,10,Noon
JL_20230810_a-matching-0.results_0,catch_trial_black_3,Left,False,0.5,0.688,0.188,12:17,12:18,45,Noon
JL_20230810_a-matching-0.results_1,checkerboard,Right,False,0.5,0.469,-0.031,12:18,12:18,17,Noon
JL_20230810_a-matching-0.results_2,bullseye_low_separate,Right,False,0.49,0.384,-0.105,12:18,12:19,11,Noon
JL_20230810_a-matching-0.results_3,whites_separate,Left,True,0.51,0.533,0.024,12:19,12:19,16,Noon
JL_20230810_a-matching-0.results_4,bullseye_high_freq,Left,False,0.5,0.518,0.019,12:19,12:19,25,Noon
JL_20230810_a-matching-0.results_5,catch_trial_white_3,Right,False,0.5,0.427,-0.073,12:19,12:20,15,Noon
JL_20230810_a-matching-0.results_6,whites,Left,True,0.5,0.466,-0.033,12:20,12:20,10,Noon
JL_20230810_a-matching-0.results_7,checkerboard_separate,Right,True,0.51,0.399,-0.11,12:20,12:20,14,Noon
JL_20230810_a-matching-0.results_8,bullseye_low_separate,Left,False,0.49,0.491,0.002,12:20,12:20,16,Noon
JL_20230810_a-matching-0.results_9,checkerboard_separate,Left,True,0.51,0.539,0.03,12:20,12:20,13,Noon
JL_20230810_a-matching-0.results_10,catch_trial_black_3,Right,False,0.5,0.614,0.114,12:20,12:21,10,Noon
JL_20230810_a-matching-0.results_11,strip,Right,True,0.49,0.512,0.023,12:21,12:21,18,Noon
JL_20230810_a-matching-0.results_12,sbc_separate,Left,False,0.51,0.571,0.061,12:21,12:22,42,Noon
JL_20230810_a-matching-0.results_13,bullseye_high_freq,Right,True,0.5,0.422,-0.078,12:22,12:22,16,Noon
JL_20230810_a-matching-0.results_14,sbc_separate,Right,False,0.51,0.445,-0.065,12:22,12:23,49,Noon
JL_20230810_a-matching-0.results_15,catch_trial_white_3,Left,False,0.5,0.388,-0.111,12:23,12:23,10,Noon
JL_20230810_a-matching-0.results_16,checkerboard,Left,False,0.5,0.449,-0.05,12:23,12:23,10,Noon
JL_20230810_a-matching-0.results_17,sbc,Left,True,0.49,0.51,0.021,12:23,12:23,9,Noon
JL_20230810_a-matching-0.results_18,whites,Right,False,0.5,0.46,-0.039,12:23,12:23,17,Noon
JL_20230810_a-matching-0.results_19,sbc,Right,False,0.49,0.321,-0.168,12:23,12:24,11,Noon
JL_20230810_a-matching-0.results_20,strip,Left,False,0.49,0.446,-0.043,12:24,12:24,18,Noon
JL_20230810_a-matching-0.results_21,whites_separate,Right,True,0.51,0.434,-0.076,12:24,12:24,30,Noon
KN_20230904_b-matching-2.results_0,catch_trial_white_3,Right,False,0.5,0.393,-0.106,15:21,15:21,5,Afternoon
KN_20230904_b-matching-2.results_1,whites_separate,Left,True,0.5,0.326,-0.174,15:21,15:21,5,Afternoon
KN_20230904_b-matching-2.results_2,checkerboard,Left,True,0.49,0.314,-0.176,15:21,15:21,2,Afternoon
KN_20230904_b-matching-2.results_3,sbc_separate,Right,False,0.5,0.491,-0.009,15:21,15:21,4,Afternoon
KN_20230904_b-matching-2.results_4,whites,Right,True,0.49,0.286,-0.204,15:21,15:21,8,Afternoon
KN_20230904_b-matching-2.results_5,catch_trial_black_3,Right,False,0.5,0.598,0.098,15:21,15:21,1,Afternoon
KN_20230904_b-matching-2.results_6,bullseye_low_separate,Left,True,0.51,0.536,0.027,15:21,15:21,6,Afternoon
KN_20230904_b-matching-2.results_7,sbc_separate,Left,True,0.5,0.414,-0.086,15:21,15:22,4,Afternoon
KN_20230904_b-matching-2.results_8,sbc,Right,False,0.51,0.554,0.045,15:22,15:22,6,Afternoon
KN_20230904_b-matching-2.results_9,checkerboard_separate,Left,True,0.5,0.517,0.018,15:22,15:22,10,Afternoon
KN_20230904_b-matching-2.results_10,catch_trial_white_3,Left,False,0.5,0.509,0.01,15:22,15:22,6,Afternoon
KN_20230904_b-matching-2.results_11,sbc,Left,False,0.51,0.592,0.082,15:22,15:22,1,Afternoon
KN_20230904_b-matching-2.results_12,strip,Left,False,0.51,0.509,-0.001,15:22,15:22,3,Afternoon
KN_20230904_b-matching-2.results_13,bullseye_low_separate,Right,True,0.51,0.447,-0.063,15:22,15:22,7,Afternoon
KN_20230904_b-matching-2.results_14,checkerboard_separate,Right,True,0.5,0.443,-0.056,15:22,15:22,4,Afternoon
KN_20230904_b-matching-2.results_15,catch_trial_black_3,Left,False,0.5,0.494,-0.006,15:22,15:22,4,Afternoon
KN_20230904_b-matching-2.results_16,bullseye_high_freq,Right,True,0.49,0.395,-0.094,15:22,15:22,4,Afternoon
KN_20230904_b-matching-2.results_17,checkerboard,Right,True,0.49,0.509,0.02,15:22,15:22,4,Afternoon
KN_20230904_b-matching-2.results_18,bullseye_high_freq,Left,False,0.49,0.447,-0.042,15:22,15:23,14,Afternoon
KN_20230904_b-matching-2.results_19,whites,Left,True,0.49,0.492,0.003,15:23,15:23,5,Afternoon
KN_20230904_b-matching-2.results_20,whites_separate,Right,True,0.5,0.468,-0.031,15:23,15:23,3,Afternoon
KN_20230904_b-matching-2.results_21,strip,Right,False,0.51,0.501,-0.009,15:23,15:23,4,Afternoon
KN_20230904_b-matching-0.results_0,catch_trial_black_3,Left,False,0.5,0.729,0.229,15:17,15:18,13,Afternoon
KN_20230904_b-matching-0.results_1,checkerboard,Right,True,0.5,0.441,-0.059,15:18,15:18,16,Afternoon
KN_20230904_b-matching-0.results_2,sbc,Right,True,0.49,0.295,-0.195,15:18,15:18,9,Afternoon
KN_20230904_b-matching-0.results_3,whites,Left,True,0.5,0.44,-0.06,15:18,15:18,1,Afternoon
KN_20230904_b-matching-0.results_4,sbc_separate,Left,False,0.51,0.708,0.198,15:18,15:18,7,Afternoon
KN_20230904_b-matching-0.results_5,catch_trial_white_3,Right,False,0.5,0.39,-0.109,15:18,15:18,2,Afternoon
KN_20230904_b-matching-0.results_6,whites,Right,True,0.5,0.61,0.11,15:18,15:18,1,Afternoon
KN_20230904_b-matching-0.results_7,bullseye_high_freq,Left,True,0.5,0.505,0.006,15:18,15:18,5,Afternoon
KN_20230904_b-matching-0.results_8,checkerboard_separate,Right,True,0.51,0.443,-0.067,15:18,15:18,5,Afternoon
KN_20230904_b-matching-0.results_9,whites_separate,Right,True,0.51,0.492,-0.018,15:18,15:18,7,Afternoon
KN_20230904_b-matching-0.results_10,catch_trial_white_3,Left,False,0.5,0.346,-0.154,15:18,15:19,4,Afternoon
KN_20230904_b-matching-0.results_11,sbc,Left,False,0.49,0.654,0.165,15:19,15:19,4,Afternoon
KN_20230904_b-matching-0.results_12,strip,Left,False,0.49,0.476,-0.014,15:19,15:19,4,Afternoon
KN_20230904_b-matching-0.results_13,bullseye_low_separate,Left,True,0.49,0.418,-0.072,15:19,15:19,1,Afternoon
KN_20230904_b-matching-0.results_14,whites_separate,Left,True,0.51,0.597,0.087,15:19,15:19,4,Afternoon
KN_20230904_b-matching-0.results_15,catch_trial_black_3,Right,False,0.5,0.753,0.253,15:19,15:19,3,Afternoon
KN_20230904_b-matching-0.results_16,sbc_separate,Right,True,0.51,0.481,-0.029,15:19,15:19,4,Afternoon
