trial,stim,likert_flipped,presented_intensity,response,start_time,stop_time,duration,time_of_day
KN_20230904_a-direction-2.results_13,whites,True,0.49,-1,15:17,15:17,2,Afternoon
KN_20230904_a-direction-2.results_15,bullseye_high_freq,True,0.49,1,15:17,15:17,2,Afternoon
KN_20230904_a-direction-2.results_17,strip,True,0.51,1,15:17,15:17,3,Afternoon
KN_20230904_a-direction-2.results_19,checkerboard,True,0.49,1,15:17,15:17,1,Afternoon
KN_20230904_a-direction-2.results_20,strip,False,0.51,0,15:17,15:17,2,Afternoon
KN_20230904_a-direction-2.results_21,checkerboard_separate,True,0.5,0,15:17,15:17,2,Afternoon
KN_20230904_a-direction-2.results_22,whites,False,0.49,0,15:17,15:17,3,Afternoon
KN_20230904_a-direction-2.results_23,bullseye_low_separate,False,0.51,0,15:17,15:17,3,Afternoon
KN_20230904_a-direction-2.results_24,sbc_separate,True,0.5,0,15:17,15:17,8,Afternoon
KN_20230904_a-direction-2.results_25,sbc,False,0.51,0,15:17,15:17,1,Afternoon
KN_20230904_a-direction-2.results_26,checkerboard_separate,False,0.5,1,15:17,15:17,2,Afternoon
KN_20230904_a-direction-2.results_27,sbc_separate,False,0.5,0,15:17,15:17,1,Afternoon
KN_20230904_a-direction-0.results_1,whites,True,0.5,0,15:12,15:12,3,Afternoon
KN_20230904_a-direction-0.results_3,sbc,True,0.49,0,15:12,15:12,2,Afternoon
KN_20230904_a-direction-0.results_5,whites_separate,False,0.51,1,15:12,15:12,4,Afternoon
KN_20230904_a-direction-0.results_7,bullseye_high_freq,False,0.5,0,15:12,15:12,2,Afternoon
KN_20230904_a-direction-0.results_9,checkerboard,False,0.5,0,15:12,15:12,2,Afternoon
KN_20230904_a-direction-0.results_11,sbc_separate,False,0.51,0,15:12,15:12,2,Afternoon
KN_20230904_a-direction-0.results_13,strip,False,0.49,0,15:12,15:12,4,Afternoon
KN_20230904_a-direction-0.results_15,checkerboard,True,0.5,1,15:12,15:12,12,Afternoon
KN_20230904_a-direction-0.results_17,whites_separate,True,0.51,-1,15:13,15:13,24,Afternoon
KN_20230904_a-direction-0.results_19,bullseye_low_separate,False,0.49,-1,15:13,15:13,6,Afternoon
KN_20230904_a-direction-0.results_20,bullseye_high_freq,True,0.5,-1,15:13,15:13,4,Afternoon
KN_20230904_a-direction-0.results_21,bullseye_low_separate,True,0.49,-1,15:13,15:13,4,Afternoon
KN_20230904_a-direction-0.results_22,checkerboard_separate,False,0.51,0,15:13,15:13,7,Afternoon
KN_20230904_a-direction-0.results_23,whites,False,0.5,1,15:13,15:13,4,Afternoon
KN_20230904_a-direction-0.results_24,sbc_separate,True,0.51,0,15:13,15:13,1,Afternoon
KN_20230904_a-direction-0.results_25,sbc,False,0.49,0,15:13,15:13,3,Afternoon
KN_20230904_a-direction-0.results_26,strip,True,0.49,1,15:13,15:14,11,Afternoon
KN_20230904_a-direction-0.results_27,checkerboard_separate,True,0.51,1,15:14,15:14,4,Afternoon
KN_20230904_a-direction-1.results_1,sbc_separate,True,0.49,0,15:14,15:14,3,Afternoon
KN_20230904_a-direction-1.results_3,bullseye_low_separate,False,0.5,0,15:14,15:14,20,Afternoon
KN_20230904_a-direction-1.results_5,whites_separate,True,0.49,-1,15:14,15:15,3,Afternoon
KN_20230904_a-direction-1.results_7,sbc_separate,False,0.49,0,15:15,15:15,2,Afternoon
KN_20230904_a-direction-1.results_9,bullseye_low_separate,True,0.5,1,15:15,15:15,2,Afternoon
KN_20230904_a-direction-1.results_11,whites,True,0.51,-1,15:15,15:15,8,Afternoon
KN_20230904_a-direction-1.results_13,checkerboard,True,0.51,0,15:15,15:15,3,Afternoon
KN_20230904_a-direction-1.results_15,whites_separate,False,0.49,-1,15:15,15:15,6,Afternoon
KN_20230904_a-direction-1.results_17,whites,False,0.51,-1,15:15,15:15,2,Afternoon
KN_20230904_a-direction-1.results_19,bullseye_high_freq,False,0.51,0,15:16,15:16,2,Afternoon
KN_20230904_a-direction-1.results_20,sbc,False,0.5,0,15:16,15:16,1,Afternoon
KN_20230904_a-direction-1.results_21,bullseye_high_freq,True,0.51,0,15:16,15:16,1,Afternoon
KN_20230904_a-direction-1.results_22,sbc,True,0.5,0,15:16,15:16,7,Afternoon
KN_20230904_a-direction-1.results_23,checkerboard_separate,True,0.49,0,15:16,15:16,3,Afternoon
KN_20230904_a-direction-1.results_24,strip,False,0.5,0,15:16,15:16,2,Afternoon
KN_20230904_a-direction-1.results_25,checkerboard_separate,False,0.49,0,15:16,15:16,4,Afternoon
KN_20230904_a-direction-1.results_26,checkerboard,False,0.51,1,15:16,15:16,5,Afternoon
KN_20230904_a-direction-1.results_27,strip,True,0.5,0,15:16,15:16,2,Afternoon
AH_20230904_b-direction-0.results_1,strip,True,0.49,1,17:11,17:11,12,Afternoon
AH_20230904_b-direction-0.results_3,checkerboard,False,0.5,1,17:11,17:11,3,Afternoon
AH_20230904_b-direction-0.results_5,bullseye_low_separate,False,0.49,0,17:11,17:11,3,Afternoon
AH_20230904_b-direction-0.results_7,checkerboard_separate,False,0.51,1,17:11,17:11,2,Afternoon
AH_20230904_b-direction-0.results_9,whites_separate,False,0.51,-1,17:11,17:11,2,Afternoon
AH_20230904_b-direction-0.results_11,sbc,True,0.49,1,17:11,17:11,2,Afternoon
AH_20230904_b-direction-0.results_13,sbc_separate,True,0.51,0,17:12,17:12,3,Afternoon
AH_20230904_b-direction-0.results_15,whites,False,0.5,0,17:12,17:12,5,Afternoon
AH_20230904_b-direction-0.results_17,checkerboard,True,0.5,0,17:12,17:12,7,Afternoon
AH_20230904_b-direction-0.results_19,sbc,False,0.49,0,17:12,17:12,1,Afternoon
AH_20230904_b-direction-0.results_20,whites,True,0.5,0,17:12,17:12,2,Afternoon
AH_20230904_b-direction-0.results_21,bullseye_high_freq,False,0.5,0,17:12,17:12,3,Afternoon
AH_20230904_b-direction-0.results_22,checkerboard_separate,True,0.51,0,17:12,17:12,1,Afternoon
AH_20230904_b-direction-0.results_23,sbc_separate,False,0.51,0,17:12,17:12,6,Afternoon
AH_20230904_b-direction-0.results_24,strip,False,0.49,0,17:12,17:12,1,Afternoon
AH_20230904_b-direction-0.results_25,whites_separate,True,0.51,0,17:12,17:12,1,Afternoon
AH_20230904_b-direction-0.results_26,bullseye_high_freq,True,0.5,0,17:12,17:12,2,Afternoon
AH_20230904_b-direction-0.results_27,bullseye_low_separate,True,0.49,0,17:12,17:12,2,Afternoon
AH_20230904_b-direction-1.results_1,sbc_separate,True,0.49,0,17:12,17:12,1,Afternoon
AH_20230904_b-direction-1.results_3,whites,True,0.51,0,17:12,17:12,4,Afternoon
AH_20230904_b-direction-1.results_5,whites,False,0.51,0,17:12,17:12,1,Afternoon
AH_20230904_b-direction-1.results_7,whites_separate,True,0.49,0,17:12,17:12,3,Afternoon
AH_20230904_b-direction-1.results_9,bullseye_high_freq,False,0.51,0,17:12,17:13,3,Afternoon
AH_20230904_b-direction-1.results_11,bullseye_high_freq,True,0.51,0,17:13,17:13,0,Afternoon
AH_20230904_b-direction-1.results_13,checkerboard,False,0.51,0,17:13,17:13,1,Afternoon
AH_20230904_b-direction-1.results_15,bullseye_low_separate,True,0.5,0,17:13,17:13,2,Afternoon
AH_20230904_b-direction-1.results_17,checkerboard,True,0.51,1,17:13,17:13,3,Afternoon
AH_20230904_b-direction-1.results_19,sbc,True,0.5,0,17:13,17:13,2,Afternoon
AH_20230904_b-direction-1.results_20,sbc_separate,False,0.49,1,17:13,17:13,1,Afternoon
AH_20230904_b-direction-1.results_21,strip,False,0.5,0,17:13,17:13,3,Afternoon
AH_20230904_b-direction-1.results_22,bullseye_low_separate,False,0.5,1,17:13,17:13,2,Afternoon
AH_20230904_b-direction-1.results_23,strip,True,0.5,0,17:13,17:13,3,Afternoon
AH_20230904_b-direction-1.results_24,sbc,False,0.5,1,17:13,17:13,1,Afternoon
AH_20230904_b-direction-1.results_25,checkerboard_separate,True,0.49,0,17:13,17:13,2,Afternoon
AH_20230904_b-direction-1.results_26,checkerboard_separate,False,0.49,0,17:13,17:13,1,Afternoon
AH_20230904_b-direction-1.results_27,whites_separate,False,0.49,0,17:13,17:13,1,Afternoon
AH_20230904_b-direction-2.results_1,checkerboard,True,0.49,0,17:13,17:13,2,Afternoon
AH_20230904_b-direction-2.results_3,sbc,False,0.51,1,17:13,17:13,3,Afternoon
AH_20230904_b-direction-2.results_5,sbc,True,0.51,0,17:13,17:13,6,Afternoon
AH_20230904_b-direction-2.results_7,bullseye_low_separate,True,0.51,1,17:14,17:14,22,Afternoon
AH_20230904_b-direction-2.results_9,checkerboard,False,0.49,0,17:14,17:14,3,Afternoon
AH_20230904_b-direction-2.results_11,whites_separate,True,0.5,-1,17:14,17:14,5,Afternoon
AH_20230904_b-direction-2.results_13,strip,False,0.51,1,17:14,17:14,1,Afternoon
AH_20230904_b-direction-2.results_15,bullseye_low_separate,False,0.51,0,17:14,17:14,2,Afternoon
AH_20230904_b-direction-2.results_17,whites,True,0.49,0,17:14,17:14,1,Afternoon
AH_20230904_b-direction-2.results_19,checkerboard_separate,False,0.5,0,17:14,17:14,6,Afternoon
AH_20230904_b-direction-2.results_20,sbc_separate,True,0.5,0,17:14,17:15,1,Afternoon
AH_20230904_b-direction-2.results_21,whites,False,0.49,0,17:15,17:15,1,Afternoon
AH_20230904_b-direction-2.results_22,checkerboard_separate,True,0.5,1,17:15,17:15,1,Afternoon
AH_20230904_b-direction-2.results_23,sbc_separate,False,0.5,0,17:15,17:15,1,Afternoon
AH_20230904_b-direction-2.results_24,strip,True,0.51,0,17:15,17:15,2,Afternoon
AH_20230904_b-direction-2.results_25,bullseye_high_freq,False,0.49,0,17:15,17:15,8,Afternoon
AH_20230904_b-direction-2.results_26,bullseye_high_freq,True,0.49,1,17:15,17:15,10,Afternoon
